Words;IT;Cyber;Cyber_Specific
agent;1;0;0
algorithm;1;0;0
amazon;1;0;0
analysis;1;0;0
antimalware;1;1;0
antivirus;1;1;0
api;1;0;0
application;1;0;0
apt;1;0;0
attack;1;1;0
attacker;1;1;0
attacking;1;1;0
audit;1;0;0
augment;1;0;0
authentication;1;0;0
automation;1;0;0
awareness;1;1;0
backbone;1;0;0
backup;1;0;0
bandwidth;1;0;0
benign;1;0;0
bitcoin;1;0;1
blackbox;1;0;0
blacklist;1;1;0
blockchain;1;0;1
boot;1;0;0
botnet;1;1;0
breach;1;1;0
broadcast;1;0;0
bug;1;1;0
byod;1;0;0
certificate;1;0;0
checklist;1;0;0
chipset;1;0;0
ci;1;0;1
ciphertext;1;0;0
clickjacking;1;1;0
cloud;1;0;1
cluster;1;0;0
code;1;0;0
communication;1;0;0
computational;1;1;0
computer;1;0;0
computing;1;0;0
configuration;1;0;0
cps;1;1;0
cracker;1;1;0
crawler;1;0;0
critical;1;0;0
cryptocurrency;1;0;1
cryptographic;1;0;0
cryptography;1;0;0
cs;1;0;0
cve;1;1;0
cyber;1;1;0
cyberattack;1;1;0
cyberbullying;1;1;0
cybercrime;1;1;0
cyberecosystem;1;1;0
cyberespionage;1;1;0
cyberinfrastructure;1;1;0
cybermanufacturing;1;1;0
cybernetics;1;1;0
cybersecurity;1;1;0
cyberspace;1;1;0
cybertechnology;1;1;0
cyberwatch;1;1;0
darknet;1;1;0
data;1;0;0
database;1;0;0
dataset;1;0;0
ddos;1;1;0
decrypt;1;1;0
defense;1;1;0
deploy;1;0;0
detection;1;1;0
develop;1;0;0
device;1;0;0
diagram;1;0;0
digital;1;1;0
distributed;1;1;0
dlp;1;1;0
dmtcp;1;0;0
dmz;1;1;0
dos;1;1;0
dynamic;1;0;0
elearning;1;0;0
embedded;1;0;0
encode;1;0;0
encrypt;1;1;0
encryption;1;1;0
engineering;1;0;0
environment;1;0;0
esp;1;1;0
exploit;1;1;0
facebook;1;0;1
fiber;1;1;0
firewall;1;1;0
pinterest;1;0;1
firmware;1;0;0
fpga;1;1;0
framework;1;0;0
fraud;1;1;0
frequency;1;0;0
function;1;0;0
geospatial;1;0;0
gigabit;1;0;0
gigahertz;1;0;0
github;1;0;1
global;1;0;0
gpu;1;0;0
graph;1;0;0
grid;1;0;0
hacker;1;1;1
hacking;1;1;1
hacktivism;1;1;1
hardware;1;0;0
hijack;1;1;0
histogram;1;0;0
honeypot;1;1;0
host;1;0;0
http;1;0;0
https;1;0;0
hypervisor;1;0;0
iaas;1;0;0
ids;1;0;0
inactivation;1;0;0
information;1;0;0
infrastructure;1;1;1
innovation;1;0;0
linkedin;1;0;1
innovative;1;0;0
integrity;1;0;0
internet;1;1;0
iot;1;1;1
ipad;1;0;0
ips;1;0;0
isp;1;0;0
json;1;0;0
jupyter;1;0;1
jupyterlab;1;0;1
keylogger;1;1;0
kibana;1;0;1
lan;1;0;0
layer;1;0;0
twitter;1;0;1
library;1;0;0
log;1;1;0
logger;1;1;0
machine;1;0;0
malicious;1;1;0
malware;1;1;0
map;1;0;0
metadata;1;0;0
metasploit;1;1;0
metric;1;0;0
micograph;1;0;0
microkernel;1;0;0
microsystem;1;0;0
migration;1;0;1
ml;1;0;0
mobile;1;0;0
monitor;1;0;0
monitoring;1;1;0
mysql;1;0;0
nanosecond;1;0;0
network;1;1;0
nginx;1;0;0
online;1;1;0
owasp;1;1;0
paas;1;0;0
package;1;0;0
packet;1;0;0
parallelism;1;0;0
parameter;1;0;0
password;1;0;0
patch;1;0;0
penetration;1;0;0
performance;1;0;0
phishing;1;0;0
instagram;1;0;1
pi;1;1;0
pipeline;1;0;0
pki;1;0;0
platform;1;0;0
portal;1;0;0
pos;1;0;0
prevent;1;1;0
privacy;1;1;0
program;1;0;0
programming;1;0;0
proxy;1;0;0
pseudogap;1;0;0
queries;1;0;0
random;1;0;0
ransomware;1;1;0
recognition;1;0;0
restore;1;0;0
rootkit;1;1;0
runtime;1;0;0
saas;1;0;0
samsung;1;0;0
sandbox;1;0;0
scada;1;0;0
scam;1;1;0
secure;1;1;0
security;1;1;0
sensor;1;0;0
service;1;0;0
shortcut;1;0;0
siem;1;0;0
simulation;1;0;0
skimmer;1;0;0
sniff;1;0;0
sniffing;1;0;0
snort;1;1;0
software;1;0;0
spam;1;1;0
spoof;1;0;0
spoofing;1;0;0
spyware;1;1;0
stakeholder;1;0;0
standalone;1;0;0
streaming;1;0;0
supercomputer;1;0;0
supercomputing;1;0;0
supervised;1;0;0
supervision;1;0;0
support;1;0;0
svn;1;0;0
syntax;1;0;0
system;1;0;0
tableau;1;0;0
tablet;1;0;0
target;1;1;0
task;1;0;0
technical;1;0;0
technique;1;0;0
technological;1;0;0
technology;1;0;0
test;1;0;0
threat;1;0;0
tls;1;0;0
tool;1;0;0
toolkit;1;0;0
tor;1;1;0
transform;1;0;0
zombie;1;0;0
trojan;1;1;0
unauthorize;1;0;0
unencrypted;1;0;0
unstructured;1;0;0
usb;1;0;0
virtualization;1;0;0
virus;1;1;0
vishing;1;1;0
visualization;1;0;0
visualize;1;0;0
voip;1;0;0
vpn;1;0;0
vulnerability;1;1;0
web;1;0;0
weibo;1;0;0
whitelist;1;0;0
widget;1;0;0
wifi;1;0;0
wireless;1;1;0
workshop;1;0;0
worm;1;1;0
xml;1;0;0
flickr;1;0;1
